step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.9876495903170537,0.6575475931167603,0.38509491086006165,0.20922614634037018,0.5358676910400391,0.35,5,0,0,0,0.31369057297706604,6.2738118171691895,125.47622680664062,0.3136903643608093,0.6684064524046716,0.053472516192373726,filtered,4.2887245578727786e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.053472516192373726,0.003038126975297928
1,0.1,-1.0570639330465315,0.6998100876808167,0.38818636536598206,0.1959480494260788,0.5651887655258179,0.35,5,0,0,0,0.3414156436920166,1.517747402191162,121.16548156738281,0.3414156436920166,0.495294764091864,0.03962358112734912,passthrough,5.206878349716114e-10,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.03962358112734912,0.0051628416404128075
2,0.15000000000000002,-1.1189847750223887,0.7676870822906494,0.39071470499038696,0.18190856277942657,0.6181377172470093,0.35,5,0,0,0,0.23502503335475922,2.1716768741607666,61.324249267578125,0.23502503335475922,0.3341679010683319,0.026733432085466552,passthrough,3.3060765539183076e-10,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.026733432085466552,0.003383737988770008
3,0.2,-1.1726449395476266,0.8436567783355713,0.3918919563293457,0.166682168841362,0.6825178265571594,0.35,5,0,0,0,0.1091957688331604,2.5278968811035156,14.356305122375488,0.1091957688331604,0.1646234269086215,0.01316987415268972,passthrough,1.641100015207106e-10,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.01316987415268972,0.003167427144944668
4,0.25,-1.1742691877189695,0.8628538846969604,0.3920885920524597,0.15076132118701935,0.7497916221618652,0.35,5,0,0,0,0.01565026119351387,2.0222065448760986,14.400776863098145,0.0,0.0,-0.001550912272738264,filtered,0.01565026056745061,0,0,12,,predictive_link_5,0,0,1,solved,osqp,1.7256882947798424e-07,valid,-0.001550912272738264,0.002706669270992279
5,0.30000000000000004,-1.204845080666393,0.8511711359024048,0.39439961314201355,0.13808469474315643,0.7812215089797974,0.35,5,0,0,0,0.17163071036338806,3.1200249195098877,89.16938781738281,0.0,0.0,-0.016940096498339996,filtered,0.17163071467296784,0,1,12,predictive_link_5,predictive_link_5,2,0,0,inaccurate_solution,,0.0,valid,-0.016940096498339996,0.004197561182081699
6,0.35000000000000003,-1.2397930522867526,0.845105767250061,0.3986354470252991,0.12799397110939026,0.8128827810287476,0.35,5,0,0,0,0.29394638538360596,2.493663787841797,18.858240127563477,0.0,0.0,-0.028992809601689706,filtered,0.2939463830092178,0,1,12,predictive_link_5,predictive_link_5,2,0,0,inaccurate_solution,,0.0,valid,-0.028992809601689706,0.002802840434014797
7,0.4,-4.281460668099688,3.8449267148971558,0.4046727120876312,0.11994221806526184,0.8449267148971558,0.35,5,1,0,0,0.3829912543296814,1.8524963855743408,20.251998901367188,0.0,0.0,-0.03829453303455532,filtered,0.382991271426991,0,0,12,,predictive_link_5,0,0,1,solved,osqp,6.443785364185217e-07,valid,-0.03829453303455532,0.002709724009037018
8,0.45,-4.3121448948540255,3.8351736664772034,0.4122743010520935,0.11350204050540924,0.8351736664772034,0.35,5,1,0,0,0.44565802812576294,1.4227733612060547,17.6697998046875,0.0,0.0,-0.045319849414640456,filtered,0.4456580476769784,0,0,12,,predictive_link_5,0,0,1,solved,osqp,2.1081706932934985e-07,valid,-0.045319849414640456,0.0023852530866861343
9,0.5,-4.341776669912524,3.827167510986328,0.42114877700805664,0.10833609104156494,0.8271675109863281,0.35,5,1,0,0,0.4826894998550415,1.1662201881408691,13.244759559631348,0.0,0.0,-0.05037726196370815,filtered,0.4826894878705786,0,1,12,predictive_link_5,predictive_link_5,0,0,1,solved,osqp,2.499460516336427e-08,valid,-0.05037726196370815,0.002427559345960617
