step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.3399966203280862,0.3236711919307709,0.7717966437339783,0.34591349959373474,0.299898624420166,0.35,2,0,0,0,0,0,0,,,,nan,0,0.4401387870311737,8.802775382995605,176.05551147460938,0.5006566643714905,1.0,0.1781087483025986,0,0,0,0,0.1781087483025986,0.0,filtered,0.0742811171301946,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.1781087483025986,0.368884961|0.359266923|0.178108748|0.307715488|0.310994363|0.365065115,0.518884961|0.509266923|0.328108748|0.457715488|0.460994363|0.515065115,0.488884961|0.479266923|0.298108748|0.427715488|0.430994363|0.485065115,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0423938813|-0.101553723|-0.111370751|-0.13171524,-0.0935118214|-0.166021014|-0.217135889|-0.220428724|-0.219995623|-0.215802291,1.38202802|1.27104668|0.452905223|0.908879504|0.912611079|1.11274293,0.455079049|-0.478857905|0.314396471,0.0641099215|0.210621133|0.0268855467,0.004745209589600563,0.0009161578491330147,0.0010975059121847153,0.0014968141913414001
1,0.1,-1.1884380229965408,0.38697972893714905,0.7529421448707581,0.32783839106559753,0.3592809736728668,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7941288352012634,8.36392593383789,130.5863494873047,0.7948966026306152,1.0,0.16329039069781737,0,0,0,0,0.1781087483025986,0.0,filtered,0.0070082277563207635,0,0,12,joint_3_acceleration_lower,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.16329039069781737,0.364192518|0.350332945|0.163290391|0.29174068|0.294633865|0.347796168,0.514192518|0.500332945|0.313290391|0.44174068|0.444633865|0.497796168,0.484192518|0.470332945|0.283290391|0.41174068|0.414633865|0.467796168,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0757264653|-0.186718832|-0.192656966|-0.234935602,-0.0905124135|-0.164096168|-0.217485563|-0.220634442|-0.22030138|-0.21612278,1.36625766|1.23723561|0.359949534|0.759609447|0.765577114|0.940126291,0.458284467|-0.468326837|0.315740794,0.0641099215|0.210621133|0.0268855467,0.0042929695919156075,0.0008958373218774796,0.0009754756465554237,0.0013840626925230026
2,0.15000000000000002,-1.0399586241869154,0.4309293329715729,0.7277767658233643,0.308228462934494,0.39832165837287903,0.35,2,0,0,0,0,0,0,,,,nan,0,1.0380715131759644,5.184662342071533,119.08231353759766,1.0380715131759644,1.0,0.14515155022092285,0,0,0,0,0.1781087483025986,0.0,passthrough,6.193466224167151e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.14515155022092285,0.359565362|0.34116226|0.14515155|0.271437194|0.274046737|0.325105556,0.509565362|0.49116226|0.29515155|0.421437194|0.424046737|0.475105556,0.479565362|0.46116226|0.26515155|0.391437194|0.394046737|0.445105556,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0924777232|-0.237390516|-0.240909165|-0.302509211,-0.0874751931|-0.161502221|-0.217907413|-0.221033891|-0.220811878|-0.216966176,1.35078625|1.20314682|0.270221065|0.627324372|0.634465907|0.780946837,0.461489886|-0.457795769|0.317085117,0.0641099215|0.210621133|0.0268855467,0.0047546736896038055,0.0013979282230138779,0.0009076669812202454,0.0013598771765828133
3,0.2,-0.9223966141313407,0.443861186504364,0.6998170614242554,0.29001012444496155,0.4061519503593445,0.35,2,0,0,0,0,0,0,,,,nan,0,1.1765722036361694,4.818991661071777,74.49166870117188,1.1789031028747559,1.0,0.1255489398513566,0,0,0,0,0.1781087483025986,0.0,filtered,0.014056767523288716,0,0,12,joint_3_acceleration_upper,predictive_link_2,1,0,0,inaccurate_solution,,0.0,valid,0.1255489398513566,0.35503025|0.332494646|0.12554894|0.248442899|0.251218107|0.298971368,0.50503025|0.482494646|0.27554894|0.398442899|0.401218107|0.448971368,0.47503025|0.452494646|0.24554894|0.368442899|0.371218107|0.418971368,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0869438597|-0.232684764|-0.231734449|-0.312481948,-0.0843902195|-0.158205791|-0.217809048|-0.221444179|-0.221109976|-0.218060937,1.33573078|1.17177279|0.197442852|0.539642653|0.552028005|0.665342586,0.464695305|-0.447264701|0.31842944,0.0641099215|0.210621133|0.0268855467,0.0049514854326844215,0.000841866247355938,0.0010819826275110245,0.0020332233980298042
4,0.25,-0.8269769468803727,0.365466445684433,0.6747353672981262,0.27900734543800354,0.3248000144958496,0.35,2,0,0,0,0,0,0,,,,nan,0,1.2044955492019653,4.945061683654785,93.541259765625,1.1912457942962646,1.0,0.1075150159292145,0,0,0,0,0.1781087483025986,0.0,filtered,0.06309985640804487,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.1075150159292145,0.350636626|0.325331941|0.107515016|0.226149711|0.22945038|0.272521847,0.500636626|0.475331941|0.257515016|0.376149711|0.37945038|0.422521847,0.470636626|0.445331941|0.227515016|0.346149711|0.34945038|0.392521847,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0431682877|-0.0962366298|-0.09368468|-0.196522321,-0.0812432808|-0.154222993|-0.216434036|-0.221283613|-0.220800611|-0.219154675,1.32130322|1.14710477|0.17045774|0.587078602|0.60331623|0.674410391,0.467900723|-0.436733633|0.319773763,0.0641099215|0.210621133|0.0268855467,0.006793562322854996,0.0016486216336488724,0.0015995549038052559,0.0017823725938796997
5,0.30000000000000004,-0.7042866575821225,0.22473296523094177,0.6537466645240784,0.2755686938762665,0.2118287980556488,0.35,2,0,0,0,0,0,0,,,,nan,0,1.1658613681793213,5.080294609069824,73.84357452392578,1.1632609367370605,1.0,0.09697031532180453,0,0,0,0,0.1781087483025986,0.0,filtered,0.11215323783744703,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09697031532180453,0.346499621|0.321552876|0.0969703153|0.211071282|0.215366663|0.251981736,0.496499621|0.471552876|0.246970315|0.361071282|0.365366663|0.401981736,0.466499621|0.441552876|0.216970315|0.331071282|0.335366663|0.371981736,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00168279909|0.0448760492|0.0528550914|-0.071701546,-0.0780080296|-0.14954248|-0.213109249|-0.220155876|-0.219657334|-0.219975907,1.30799045|1.13666903|0.173089213|0.6690053|0.694664411|0.71624949,0.471106142|-0.426202565|0.321118087,0.0641099215|0.210621133|0.0268855467,0.005538777448236942,0.0009624194353818893,0.001319841481745243,0.0018290234729647636
6,0.35000000000000003,-0.722293126481519,0.18596594035625458,0.6381090879440308,0.27909356355667114,0.14773403108119965,0.35,2,0,0,0,0,0,0,,,,nan,0,1.1511731147766113,5.862719535827637,34.56980895996094,1.1511759757995605,1.0,0.09426390669287846,0,0,0,0,0.1781087483025986,0.0,filtered,0.0950396988641963,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09426390669287846,0.342633584|0.320730788|0.0942639067|0.20362079|0.209401862|0.238025808,0.492633584|0.470730788|0.244263907|0.35362079|0.359401862|0.388025808,0.462633584|0.440730788|0.214263907|0.32362079|0.329401862|0.358025808,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0350011079|0.181153013|0.19314337|0.0526290058,-0.0746865312|-0.1443593|-0.207841228|-0.217862475|-0.21749628|-0.220416529,1.2958478|1.13856385|0.204215507|0.777773697|0.813254536|0.784315707,0.47431156|-0.415671498|0.32246241,0.0641099215|0.210621133|0.0268855467,0.005154697224497795,0.0009500393643975258,0.0014356765896081924,0.0015947315841913223
7,0.4,-0.768508981718552,0.17225615680217743,0.6273399591445923,0.2880244255065918,0.1382095217704773,0.35,2,0,0,0,0,0,0,,,,nan,0,1.2159017324447632,5.464699745178223,20.180660247802734,1.2166361808776855,1.0,0.0987323997070412,0,0,0,0,0.1781087483025986,0.0,filtered,0.024706016496760873,0,0,12,joint_5_acceleration_upper,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.0987323997070412,0.339046542|0.322148562|0.0987323997|0.203387269|0.210461488|0.230562236,0.489046542|0.472148562|0.2487324|0.353387269|0.360461488|0.380562236,0.459046542|0.442148562|0.2187324|0.323387269|0.330461488|0.350562236,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0608243515|0.288983251|0.297929769|0.146839056,-0.0712811658|-0.138895474|-0.201109392|-0.214485393|-0.216136071|-0.220431436,1.284905|1.14969878|0.254644558|0.888046936|0.923639649|0.848656563,0.477516979|-0.40514043|0.323806733,0.0641099215|0.210621133|0.0268855467,0.004241090267896652,0.0009657163172960281,0.0008543496951460838,0.001369638368487358
8,0.45,-0.7786064200205977,0.16075874865055084,0.6190422773361206,0.29603061079978943,0.13025330007076263,0.35,2,0,0,0,0,0,0,,,,nan,0,1.1835206747055054,2.7915258407592773,103.89373016357422,1.1835206747055054,1.0,0.10875909734400177,0,0,0,0,0.1781087483025986,0.0,passthrough,5.951243540214459e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.10875909734400177,0.335723544|0.325039085|0.108759097|0.208949854|0.215814544|0.228112133,0.485723544|0.475039085|0.258759097|0.358949854|0.365814544|0.378112133,0.455723544|0.445039085|0.228759097|0.328949854|0.335814544|0.348112133,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0577668922|0.280607957|0.27996161|0.131969035,-0.0677982951|-0.133252949|-0.193362643|-0.210193657|-0.21434885|-0.220106424,1.27509588|1.16690339|0.299440638|0.906213717|0.928870934|0.824311145,0.480722398|-0.394609362|0.325151056,0.0641099215|0.210621133|0.0268855467,0.006654849275946617,0.0014606229960918427,0.0015313094481825829,0.001967167481780052
9,0.5,-0.7567151699697025,0.16414625942707062,0.6103358268737793,0.2975558042526245,0.14895305037498474,0.35,2,0,0,0,0,0,0,,,,nan,0,1.0595351457595825,6.530984401702881,112.07001495361328,1.058176875114441,1.0,0.11786603527025027,0,0,0,0,0.1781087483025986,0.0,filtered,0.04411323483587271,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.11786603527025027,0.332563851|0.326620813|0.117866035|0.213975139|0.218997596|0.225189381,0.482563851|0.476620813|0.267866035|0.363975139|0.368997596|0.375189381,0.452563851|0.446620813|0.237866035|0.333975139|0.338997596|0.345189381,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.03022735|0.158005704|0.137563198|0.0259287431,-0.0642634452|-0.128064367|-0.185613403|-0.205652132|-0.2118301|-0.218612778,1.26599196|1.17841888|0.316078088|0.808254128|0.801723484|0.70807349,0.483927816|-0.384078294|0.326495379,0.0641099215|0.210621133|0.0268855467,0.006224646233022213,0.001193116419017315,0.0015268586575984955,0.0018914919346570969
