step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
82,4.15,-0.5362894806668186,0.44770917296409607,0.28868821263313293,0.20883046090602875,0.40973684191703796,0.35,3,0,0,0,1.144669532775879,1.3511649370193481,8.205288887023926,1.2010763883590698,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.3243088677211566,0,1,12,workspace_y_lower|joint_3_velocity_lower,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.0468630102336797,0.293212555|0.308212554|0.0992787627|0.0468630102|0.106030599|0.110831334,0.443212555|0.458212554|0.249278763|0.19686301|0.256030599|0.260831334,0.413212555|0.428212554|0.219278763|0.16686301|0.226030599|0.230831334,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00285918624|0.0027416136|-0.0280529902|-0.0501995731,-0.0397782794|0|-0.0655383661|-0.117968542|-0.127544235|-0.122794593,1.13307194|1.23285022|0.328717499|0.0722251122|0.268525172|0.270331168,0.452004939|-0.0266893525|0.474391729,-0.0356687307|-0.125761181|-0.0347223654,0.003732459619641304,0.001031690277159214,0.0010732095688581467,0.00160218495875597
83,4.2,-0.5278649980496136,0.4669835567474365,0.28315141797065735,0.20313115417957306,0.4271196126937866,0.35,3,0,0,0,1.1666014194488525,1.3938945531845093,2.711385488510132,1.2222939729690552,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.31759163607266744,0,1,12,workspace_y_lower|joint_3_velocity_lower,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.04110122388816925,0.291259127|0.306259127|0.0958990965|0.0411012239|0.0981262181|0.102164832,0.441259127|0.456259127|0.245899097|0.191101224|0.248126218|0.252164832,0.411259127|0.426259127|0.215899097|0.161101224|0.218126218|0.222164832,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00158744706|0.00368331756|-0.0347923667|-0.0520192024,-0.0383505948|0|-0.0637805083|-0.118081514|-0.126872923|-0.123195254,1.12668591|1.22503651|0.318228431|0.0500066994|0.230839583|0.233444871,0.450221449|-0.0329774171|0.472655445,-0.0356687307|-0.125761181|-0.0347223654,0.0037057138979434967,0.001012476161122322,0.001073179766535759,0.0015963176265358925
84,4.25,-0.5219499020441006,0.4830783009529114,0.27679115533828735,0.19762076437473297,0.4413088858127594,0.35,3,0,0,0,1.1878103017807007,1.1386005878448486,8.788873672485352,1.2357996702194214,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.3010210880507093,0,1,12,workspace_y_lower|joint_3_velocity_lower,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.03538346323649891,0.289377438|0.304377428|0.0926737674|0.0353834632|0.0899136058|0.0933865557,0.439377438|0.454377428|0.242673767|0.185383463|0.239913606|0.243386556,0.409377438|0.424377428|0.212673767|0.155383463|0.209913606|0.213386556,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00266602392|0.00763865391|-0.0389971578|-0.0506864686,-0.036908829|0|-0.0619387952|-0.118220903|-0.126300727|-0.123786954,1.12060092|1.21750971|0.311422298|0.0309516034|0.194356539|0.1990728,0.448437959|-0.0392654985|0.470919162,-0.0356687307|-0.125761181|-0.0347223654,0.004299192689359188,0.0012788036838173866,0.0011428482830524445,0.001836199313402176
85,4.3,-0.5223487370516139,0.4926895499229431,0.27031415700912476,0.19252274930477142,0.4491250216960907,0.35,3,0,0,0,1.2019480466842651,1.0279595851898193,16.340259552001953,1.2339931726455688,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.2710835915335749,0,1,12,workspace_y_lower|joint_3_velocity_lower,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.02986032389241758,0.287568183|0.302568183|0.0897586232|0.0298603239|0.0815200119|0.0846460836,0.437568183|0.452568183|0.239758623|0.179860324|0.231520012|0.234646084,0.407568183|0.422568183|0.209758623|0.149860324|0.201520012|0.204646084,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0123617634|0.0163159432|-0.0386369868|-0.0444680805,-0.0354533397|0|-0.0599603721|-0.118324281|-0.125806414|-0.124496585,1.11481939|1.21027273|0.311435884|0.0174329575|0.161636647|0.169619668,0.446654469|-0.0455535799|0.469182879,-0.0356687307|-0.125761181|-0.0347223654,0.004072865471243858,0.0011461228132247925,0.0011471351608633995,0.0017545754089951515
86,4.3500000000000005,-0.5174722856707274,0.5062737464904785,0.26323333382606506,0.18766771256923676,0.46095186471939087,0.35,3,0,0,0,1.2164937257766724,0.8353466391563416,12.891152381896973,1.2519999742507935,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.2776820890872105,0,1,12,workspace_y_lower|joint_3_velocity_lower,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.02476898148533832,0.285832038|0.300832038|0.0874367691|0.0247689815|0.073180813|0.0761822727,0.435832038|0.450832038|0.237436769|0.174768981|0.223180813|0.226182273,0.405832038|0.420832038|0.207436769|0.144768981|0.193180813|0.196182273,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0167226984|0.0212429348|-0.0406695335|-0.0412973691,-0.0339845036|0|-0.0577438339|-0.118295866|-0.125325132|-0.125182586,1.10934365|1.20332815|0.308725941|0.00202299445|0.126728587|0.138249136,0.444870979|-0.0518416613|0.467446595,-0.0356687307|-0.125761181|-0.0347223654,0.0035763774067163467,0.0010436000302433968,0.0010431911796331406,0.0014655832201242447
87,4.4,-0.5040029696679791,0.498573362827301,0.2562180459499359,0.1836443394422531,0.45185568928718567,0.35,3,0,0,0,1.224995493888855,2.0233991146087646,31.545900344848633,1.2702183723449707,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.3036987802052748,0,2,12,predictive_link_3|workspace_y_lower|joint_3_velocity_lower,predictive_link_3,0,0,1,solved,osqp,7.992718473182059e-09,valid,0.019928980528738843,0.28416966|0.29916966|0.0854477793|0.0199289805|0.0648447932|0.0678447932,0.43416966|0.44916966|0.235447779|0.169928981|0.214844793|0.217844793,0.40416966|0.41916966|0.205447779|0.139928981|0.184844793|0.187844793,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0369586878|0.0384959625|-0.028385434|-0.028385434,-0.0325027199|0|-0.0554126073|-0.118211892|-0.125944966|-0.125944966,1.10417592|1.19667864|0.323337198|-7.25384559e-09|0.105048773|0.117048773,0.443087488|-0.0581297427|0.465710312,-0.0356687307|-0.125761181|-0.0347223654,0.003882058896124363,0.0011310214176774025,0.001088196411728859,0.0016370806843042374
88,4.45,-0.4804455394609889,0.485005259513855,0.24905413389205933,0.18038542568683624,0.4372476637363434,0.35,3,0,0,0,1.2388122081756592,1.829682469367981,7.511307716369629,1.2874915599822998,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.3244163467084922,0,2,12,predictive_link_3|workspace_y_lower|joint_3_velocity_lower,predictive_link_3,0,0,1,solved,osqp,1.0391329685610629e-08,valid,0.015958247992562596,0.282581688|0.297581688|0.0846017704|0.015958248|0.0571174468|0.0601174468,0.432581688|0.447581688|0.23460177|0.165958248|0.207117447|0.210117447,0.402581688|0.417581688|0.20460177|0.135958248|0.177117447|0.180117447,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0542236286|0.054040129|-0.0163933223|-0.0163933223,-0.0310084104|0|-0.0526562265|-0.11787313|-0.126595024|-0.126595024,1.09931834|1.19032675|0.339974484|-9.46420137e-09|0.0854814406|0.0974814406,0.441303998|-0.0644178241|0.463974029,-0.0356687307|-0.125761181|-0.0347223654,0.0038572316989302635,0.0010743830353021622,0.0011180480942130089,0.0016401465982198715
89,4.5,-0.44990993127795376,0.4695103168487549,0.24147498607635498,0.17774032056331635,0.4210089445114136,0.35,3,0,0,0,1.2598131895065308,1.4280662536621094,11.719879150390625,1.306501030921936,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.3242176477010235,0,2,12,predictive_link_3|workspace_y_lower|joint_3_velocity_lower,predictive_link_3,0,0,1,solved,osqp,1.1124164908671297e-08,valid,0.012783693635703447,0.281068735|0.296068735|0.0847654138|0.0127836936|0.0499632403|0.0529632403,0.431068735|0.446068735|0.234765414|0.162783694|0.19996324|0.20296324,0.401068735|0.416068735|0.204765414|0.132783694|0.16996324|0.17296324,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0655670971|0.066185998|-0.00622454706|-0.00622454706,-0.0295020189|0|-0.0495587358|-0.117320783|-0.127165626|-0.127165626,1.09477292|1.18427494|0.355070016|-1.05362464e-08|0.0664627887|0.0784627887,0.439520508|-0.0707059056|0.462237746,-0.0356687307|-0.125761181|-0.0347223654,0.0037212958559393883,0.0011175191029906273,0.0009897025302052498,0.0015905387699604034
90,4.55,-0.4311625502203424,0.46623513102531433,0.23346471786499023,0.17558740079402924,0.42376458644866943,0.35,3,0,0,0,1.2830264568328857,1.0034840106964111,10.72429084777832,1.3226205110549927,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.3135925332625634,0,2,12,predictive_link_3|workspace_y_lower|joint_3_velocity_lower,predictive_link_3,0,0,1,solved,osqp,8.352975686132247e-09,valid,0.010246138817198297,0.279631395|0.294631394|0.0856529809|0.0102461388|0.0432965132|0.0462965132,0.429631395|0.444631394|0.235652981|0.160246139|0.193296513|0.196296513,0.399631395|0.414631394|0.205652981|0.130246139|0.163296513|0.166296513,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.07181711|0.0756283668|0.00304626923|0.00304626923,-0.0279840114|0|-0.0462615335|-0.116612935|-0.127704876|-0.127704876,1.09054157|1.17852558|0.3681675|-1.28801644e-08|0.048527446|0.060527446,0.437737018|-0.076993987|0.460501462,-0.0356687307|-0.125761181|-0.0347223654,0.007951345294713974,0.002334252931177616,0.0022231191396713257,0.0033438783138990402
91,4.6000000000000005,-0.42719598274758086,0.47733932733535767,0.2250484973192215,0.17382876574993134,0.43261781334877014,0.35,3,0,0,0,1.3066555261611938,0.7414373755455017,9.596332550048828,1.3373228311538696,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.2876677182319384,0,2,12,predictive_link_3|workspace_y_lower|joint_3_velocity_lower,predictive_link_3,0,0,1,solved,osqp,3.89971213654583e-09,valid,0.008218921325227141,0.278270236|0.293270236|0.0870157908|0.00821892133|0.037075272|0.040075272,0.428270236|0.443270236|0.237015791|0.158218921|0.187075272|0.190075272,0.398270236|0.413270236|0.207015791|0.128218921|0.157075272|0.160075272,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.074059097|0.0829071335|0.011564176|0.011564176,-0.0264548748|0|-0.0428828217|-0.115782825|-0.128215648|-0.128215648,1.08662607|1.17308094|0.379239438|-6.48679874e-09|0.031649616|0.043649616,0.435953528|-0.0832820684|0.458765179,-0.0356687307|-0.125761181|-0.0347223654,0.003545979969203472,0.000970764085650444,0.0010346435010433197,0.0015171198174357414
