step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1878160709664805,0.3880031108856201,0.6452141404151917,0.23950083553791046,0.35782724618911743,0.35,2,0,0,0,0,,,nan,0,0.26437613368034363,5.287522792816162,105.75045013427734,0.2721373736858368,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,0.010152379261202996,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.07861910235296296,0.624429482|0.338197892|0.0786191024|0.0856191024|0.123731096|0.15877141,0.774429482|0.488197892|0.228619102|0.235619102|0.273731096|0.30877141,0.744429482|0.458197892|0.198619102|0.205619102|0.243731096|0.27877141,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0206761436|-0.0255413338|-0.0255413338|-0.031113807|0,-0.10702513|-0.120111441|-0.120145506|-0.120145506|-0.105173193|0,2.3906928|1.25335627|0.168789569|0.196789569|0.358637383|0.63508564,0.598231435|0.488934726|0.616742909,-0.0356687307|-0.125761181|-0.0347223654,0.0030381223186850548,0.0008163796737790108,0.0008225599303841591,0.0013788752257823944
1,0.1,-1.1921872429693374,0.4232855439186096,0.6420640349388123,0.23155899345874786,0.3908587396144867,0.35,2,0,0,0,0,,,nan,0,0.4103679060935974,3.333388090133667,65.6597900390625,0.41036736965179443,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,6.523549185683965e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.07134211286611877,0.619087828|0.333234875|0.0713421129|0.0783421129|0.116924127|0.151756348,0.769087828|0.483234875|0.221342113|0.228342113|0.266924127|0.301756348,0.739087828|0.453234875|0.191342113|0.198342113|0.236924127|0.271756348,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0390483752|-0.041280297|-0.041280297|-0.0544623388|0,-0.106649899|-0.119777754|-0.120263267|-0.120263267|-0.104955834|0,2.36970141|1.25221012|0.123824887|0.151824887|0.308278337|0.607025392,0.596448302|0.482646555|0.615006983,-0.0356687307|-0.125761181|-0.0347223654,0.0029206285253167152,0.0007892521098256111,0.0008184686303138733,0.0012925686314702034
2,0.15000000000000002,-1.1726208146006072,0.4405773878097534,0.6375173926353455,0.223866268992424,0.40566492080688477,0.35,2,0,0,0,0,,,nan,0,0.5172352194786072,3.203336477279663,44.89118576049805,0.5172346830368042,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,6.2222151746538e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.06330293283769531,0.613765101|0.329209328|0.0633029328|0.0703029328|0.108974444|0.142902147,0.763765101|0.479209328|0.213302933|0.220302933|0.258974444|0.292902147,0.733765101|0.449209328|0.183302933|0.190302933|0.228974444|0.262902147,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0562270903|-0.03819596|-0.03819596|-0.0574834721|0,-0.106268043|-0.119413318|-0.120928437|-0.120928437|-0.105338602|0,2.34879236|1.25365108|0.094087334|0.122087334|0.273075704|0.571608586,0.59466517|0.476358384|0.613271058,-0.0356687307|-0.125761181|-0.0347223654,0.0029486799612641335,0.000802324153482914,0.0008314372971653938,0.0012964578345417976
3,0.2,-1.1058349716159617,0.42556971311569214,0.6310411095619202,0.21775232255458832,0.388396292924881,0.35,2,0,0,0,0,,,nan,0,0.5772333145141602,2.031230926513672,45.81467056274414,0.5772329568862915,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,4.3780743932174266e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.055444370935205184,0.608461638|0.326061522|0.0554443709|0.0624443709|0.100896593|0.133113523,0.758461638|0.476061522|0.205444371|0.212444371|0.250896593|0.283113523,0.728461638|0.446061522|0.175444371|0.182444371|0.220896593|0.253113523,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0724367873|-0.00725443319|-0.00725443319|-0.0276732817|0,-0.105879431|-0.119039154|-0.122077156|-0.122077156|-0.106303316|0,2.32796712|1.25764372|0.0924458941|0.120445894|0.269609775|0.53245409,0.592882037|0.470070213|0.611535132,-0.0356687307|-0.125761181|-0.0347223654,0.0030678818002343178,0.0009259097278118134,0.0008760411292314529,0.0012459969148039818
4,0.25,-1.0642509856638251,0.420576810836792,0.6235802173614502,0.21250970661640167,0.3812437653541565,0.35,2,0,0,0,0,,,nan,0,0.6223884224891663,1.6299062967300415,38.62205505371094,0.6223881244659424,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,4.05403208154283e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.04912786929386745,0.603177777|0.323743207|0.0491278693|0.0561278693|0.0943022425|0.124224876,0.753177777|0.473743207|0.199127869|0.206127869|0.244302243|0.274224876,0.723177777|0.443743207|0.169127869|0.176127869|0.214302243|0.244224876,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0848511847|0.0104596658|0.0104596658|-0.0137933561|0,-0.105483926|-0.118660792|-0.123491172|-0.123491172|-0.10769685|0,2.30722718|1.26116322|0.0834799709|0.111479971|0.255718764|0.496899504,0.591098905|0.463782042|0.609799206,-0.0356687307|-0.125761181|-0.0347223654,0.00299040786921978,0.0008699875324964523,0.000805252231657505,0.0012959670275449753
5,0.30000000000000004,-1.0581731519600375,0.4315948486328125,0.6161807775497437,0.20751585066318512,0.3900895118713379,0.35,2,0,0,0,0,,,nan,0,0.6502935290336609,2.0266194343566895,28.730350494384766,0.650293231010437,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,4.0113721149228517e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.043663518544149765,0.597913869|0.322064139|0.0436635185|0.0506635185|0.0883619016|0.115647808,0.747913869|0.472064139|0.193663519|0.200663519|0.238361902|0.265647808,0.717913869|0.442064139|0.163663519|0.170663519|0.208361902|0.235647808,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0857913282|0.0171275339|0.0171275339|-0.00882895419|0,-0.105081393|-0.118243109|-0.125045281|-0.125045281|-0.109370404|0,2.28657408|1.25580478|0.066736327|0.094736327|0.235248248|0.462591234,0.589315772|0.457493871|0.608063281,-0.0356687307|-0.125761181|-0.0347223654,0.0030770711600780487,0.0008356962352991104,0.0008012512698769569,0.0014196131378412247
6,0.35000000000000003,-1.0813525505197665,0.45741939544677734,0.6095475554466248,0.20230107009410858,0.41358640789985657,0.35,2,0,0,0,0,,,nan,0,0.6723995804786682,1.532019019126892,28.79819107055664,0.6723993420600891,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,3.3885845003651055e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.038456818863296854,0.592670267|0.320453135|0.0384568189|0.0454568189|0.0825825526|0.107193424,0.742670267|0.470453135|0.188456819|0.195456819|0.232582553|0.257193424,0.712670267|0.440453135|0.158456819|0.165456819|0.202582553|0.227193424,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0777116979|0.0144972456|0.0144972456|-0.0127850713|0,-0.104671691|-0.117791908|-0.126540856|-0.126540856|-0.11105328|0,2.26600938|1.24173233|0.041783665|0.069783665|0.206491859|0.428773697,0.58753264|0.451205701|0.606327355,-0.0356687307|-0.125761181|-0.0347223654,0.0035463329404592514,0.0008982131257653236,0.0011814599856734276,0.0014459574595093727
7,0.4,-1.0986201456673736,0.47533583641052246,0.6036712527275085,0.1971745640039444,0.4291425049304962,0.35,2,0,0,0,0,,,nan,0,0.670526385307312,1.482550024986267,36.23109817504883,0.6705262660980225,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,2.0976719979899952e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.0330453390532254,0.587447334|0.318459283|0.0330453391|0.0400453391|0.0765200118|0.0983906331,0.737447334|0.468459283|0.183045339|0.190045339|0.226520012|0.248390633,0.707447334|0.438459283|0.153045339|0.160045339|0.196520012|0.218390633,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0656895682|0.018098498|0.018098498|-0.00808918002|0,-0.104254678|-0.117340251|-0.127925439|-0.127925439|-0.11263693|0,2.24553466|1.22218645|0.0223544153|0.0503544153|0.185353938|0.393562532,0.585749507|0.44491753|0.604591429,-0.0356687307|-0.125761181|-0.0347223654,0.0034084171056747437,0.0008810404688119888,0.0008116215467453003,0.00169395562261343
8,0.45,-1.081526293118143,0.4680548310279846,0.5980001091957092,0.19289766252040863,0.41980046033859253,0.35,2,0,0,0,0,,,nan,0,0.6500710248947144,1.854142427444458,22.378416061401367,0.6500710248947144,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,1.2229499967441944e-09,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.027745055367609656,0.582245438|0.315885673|0.0277450554|0.0347450554|0.0706136314|0.0895550262,0.732245438|0.465885673|0.177745055|0.184745055|0.220613631|0.239555026,0.702245438|0.435885673|0.147745055|0.154745055|0.190613631|0.209555026,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0543093237|0.0369214182|0.0369214182|0.0148084548|0,-0.103830209|-0.116923983|-0.12915066|-0.12915066|-0.114060612|0,2.22515154|1.20092803|0.0187509796|0.0467509796|0.183202368|0.358220105,0.583966374|0.438629359|0.602855504,-0.0356687307|-0.125761181|-0.0347223654,0.002892531454563141,0.0008089179173111916,0.0007891179993748665,0.0012735631316900253
9,0.5,-1.0392436856652967,0.4442927837371826,0.5920863151550293,0.18964503705501556,0.3943649232387543,0.35,2,0,0,0,0,,,nan,0,0.6264241933822632,1.6333569288253784,21.786521911621094,0.6264241933822632,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,1.118563813877415e-09,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.023323974541798936,0.577064957|0.312764115|0.0233239745|0.0303239745|0.0657862509|0.0815245803,0.727064957|0.462764115|0.173323975|0.180323975|0.215786251|0.23152458,0.697064957|0.432764115|0.143323975|0.150323975|0.185786251|0.20152458,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0520346282|0.058361687|0.058361687|0.0347495447|0,-0.103398137|-0.116570909|-0.130169781|-0.130169781|-0.11529329|0,2.20486169|1.18652018|0.0214878043|0.0494878043|0.182601258|0.326098321,0.582183242|0.432341188|0.601119578,-0.0356687307|-0.125761181|-0.0347223654,0.003069106489419937,0.0008224695920944214,0.0008181547746062279,0.0014078989624977112
