step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.4228375575444091,0.07660257071256638,0.45986494421958923,0.44475117325782776,0.07197423279285431,0.35,4,0,0,0,0,,,nan,0,0.43262502551078796,8.65250015258789,173.0500030517578,0.4827505350112915,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,0.05514937362601545,0,0,12,joint_3_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2778313040334618,0.374999706|0.323432207|0.289985446|0.3166141|0.277831304|0.280831304,0.524999706|0.473432207|0.439985446|0.4666141|0.427831304|0.430831304,0.494999706|0.443432207|0.409985446|0.4366141|0.397831304|0.400831304,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0289726552|0.0984061273|0.124898983|0.102105516|0,-0.126129821|-0.147278897|-0.146827352|-0.133498213|-0.129099204|0,1.373869|1.17542259|1.11152056|1.25785717|1.08433153|1.12332522,0.24794744|0.612904072|0.283186346,0.0124797234|-0.151803002|0.0100211231,0.005029176361858845,0.0013596666976809502,0.0015107495710253716,0.002123572863638401
1,0.1,-0.311120197615627,0.07259143143892288,0.4503747522830963,0.4493565261363983,0.06777002662420273,0.35,4,0,0,0,0,,,nan,0,0.6098355054855347,6.064146041870117,172.6493682861328,0.6098349690437317,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,9.116155604495347e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2752628821465306,0.36944475|0.317845361|0.286784713|0.314970206|0.275262882|0.278262882,0.51944475|0.467845361|0.436784713|0.464970206|0.425262882|0.428262882,0.48944475|0.437845361|0.406784713|0.434970206|0.395262882|0.398262882,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0469668215|0.176755336|0.231564667|0.22376186|0,-0.125394304|-0.146977695|-0.147083148|-0.133412685|-0.129027408|0,1.3523847|1.17137057|1.17681104|1.35803281|1.19578598|1.11305153,0.250520051|0.605313778|0.283687383,0.0124797234|-0.151803002|0.0100211231,0.00492339301854372,0.0014685802161693573,0.0014165109023451805,0.002004728652536869
2,0.15000000000000002,-0.23957776200383252,0.07096066325902939,0.43823742866516113,0.4574572741985321,0.06792920082807541,0.35,4,0,0,0,0,,,nan,0,0.7121057510375977,5.463365077972412,104.9448013305664,0.7121057510375977,1.0,nan,0,0,0,0,0.2778313040334618,0.0,passthrough,4.544864491642866e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.27990072011291867,0.363189321|0.312820262|0.288048219|0.31975285|0.27990072|0.28290072,0.513189321|0.462820262|0.438048219|0.46975285|0.42990072|0.43290072,0.483189321|0.432820262|0.408048219|0.43975285|0.39990072|0.40290072,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0551730275|0.207464857|0.280028059|0.291794937|0,-0.124815985|-0.146812739|-0.147588994|-0.133230928|-0.128810466|0,1.3279413|1.15964134|1.21206874|1.42580853|1.28258735|1.13160288,0.251144111|0.597723484|0.28418842,0.0124797234|-0.151803002|0.0100211231,0.004814626649022102,0.0014126282185316086,0.0014410074800252914,0.0019280845299363136
3,0.2,-0.2062200496109836,0.07170066982507706,0.42552414536476135,0.4654673635959625,0.06868281960487366,0.35,4,0,0,0,0,,,nan,0,0.7729756236076355,3.488384485244751,106.62000274658203,0.7729745507240295,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,1.5104842582419705e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.28804135762583327,0.356963224|0.308276435|0.290873483|0.32706784|0.288041358|0.291041358,0.506963224|0.458276435|0.440873483|0.47706784|0.438041358|0.441041358,0.476963224|0.428276435|0.410873483|0.44706784|0.408041358|0.411041358,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0596759235|0.205773736|0.282673041|0.289561133|0,-0.124220979|-0.14668825|-0.148243773|-0.13320803|-0.128548569|0,1.30363192|1.14609341|1.22102389|1.45773637|1.31317799|1.16416543,0.251768172|0.59013319|0.284689456,0.0124797234|-0.151803002|0.0100211231,0.005052109248936176,0.001501268707215786,0.0014531034976243973,0.002063754014670849
4,0.25,-0.18836275230226202,0.07263918966054916,0.41293516755104065,0.4678029716014862,0.06947650015354156,0.35,2,0,0,0,0,,,nan,0,0.8025779724121094,3.5975797176361084,44.75433349609375,0.8025779724121094,1.0,nan,0,0,0,0,0.2778313040334618,0.0,passthrough,5.909042615046849e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2935916744602728,0.350767306|0.30395824|0.293591674|0.33451744|0.296074665|0.299074631,0.500767306|0.45395824|0.443591674|0.48451744|0.446074665|0.449074631,0.470767306|0.42395824|0.413591674|0.45451744|0.416074665|0.419074631,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0614236133|0.187222671|0.257167425|0.254697623|0,-0.123608722|-0.146532233|-0.148882177|-0.133335522|-0.12840131|0,1.2794605|1.13072434|1.21270719|1.46190166|1.31059497|1.19629852,0.252392232|0.582542896|0.285190493,0.0124797234|-0.151803002|0.0100211231,0.004873129539191723,0.0015358366072177887,0.0014321599155664444,0.0018698358908295631
5,0.30000000000000004,-0.1702271078329881,0.07362494617700577,0.40043023228645325,0.4673956036567688,0.07031185925006866,0.35,1,0,0,0,0,,,nan,0,0.8135488033294678,3.1658403873443604,58.5064697265625,0.8260859251022339,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,0.059487352711257234,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,5.242417430856294e-07,valid,0.2953755384489386,0.344602446|0.299717596|0.295375538|0.340662347|0.302330072|0.305330072,0.494602446|0.449717596|0.445375538|0.490662347|0.452330072|0.455330072,0.464602446|0.419717596|0.415375538|0.460662347|0.422330072|0.425330072,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0615134286|0.168113381|0.227917258|0.222877679|0,-0.122978631|-0.146299401|-0.149435147|-0.133622503|-0.128466434|0,1.25543115|1.11408441|1.20018039|1.45694415|1.30373153|1.22132029,0.253016293|0.574952602|0.28569153,0.0124797234|-0.151803002|0.0100211231,0.005016244016587734,0.0014951471239328384,0.001570897176861763,0.0019153263419866562
6,0.35000000000000003,-0.14464469083131867,0.07465969026088715,0.3876071274280548,0.46320676803588867,0.07119055837392807,0.35,1,0,0,0,0,,,nan,0,0.8412050008773804,1.7953206300735474,46.671363830566406,0.8646225333213806,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,0.11547584438543589,0,1,12,workspace_z_lower,workspace_z_lower,2,0,0,inaccurate_solution,,0.0,valid,0.29547284468644586,0.338469549|0.295472845|0.296192397|0.345306517|0.306957605|0.309957605,0.488469549|0.445472845|0.446192397|0.495306517|0.456957605|0.459957605,0.458469549|0.415472845|0.416192397|0.465306517|0.426957605|0.429957605,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0638889309|0.163096055|0.218481201|0.213419022|0,-0.122330102|-0.145977447|-0.149886243|-0.134033748|-0.128740589|0,1.2315481|1.09980286|1.1979794|1.46567352|1.31250885|1.23983042,0.253640354|0.567362309|0.286192566,0.0124797234|-0.151803002|0.0100211231,0.005260375328361988,0.0015735020861029625,0.0014582276344299316,0.002193216234445572
7,0.4,-0.11836447089050472,0.07574516534805298,0.37438884377479553,0.4591253995895386,0.07211428880691528,0.35,1,0,0,0,0,,,nan,0,0.871455192565918,1.4642356634140015,28.326251983642578,0.8932288885116577,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,0.12402773399955404,0,1,12,workspace_z_lower,workspace_z_lower,2,0,0,inaccurate_solution,,0.0,valid,0.2913457114309075,0.332369554|0.291345711|0.296730544|0.349434922|0.311082358|0.314082358,0.482369554|0.441345711|0.446730544|0.499434922|0.461082358|0.464082358,0.452369554|0.411345711|0.416730544|0.469434922|0.431082358|0.434082358,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0660513634|0.164209559|0.220271037|0.215465484|0,-0.121662513|-0.145561296|-0.150262437|-0.134569066|-0.129160784|0,1.2078157|1.08587291|1.2008693|1.48344166|1.33063413|1.25632943,0.254264414|0.559772015|0.286693603,0.0124797234|-0.151803002|0.0100211231,0.005010691471397877,0.0014427807182073593,0.0013814037665724754,0.002151147462427616
8,0.45,-0.09065371412918757,0.07688314467668533,0.36069366335868835,0.45507627725601196,0.073084756731987,0.35,1,0,0,0,0,,,nan,0,0.8830392360687256,0.9164025783538818,38.79408645629883,0.8985421657562256,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,0.10742807552852263,0,1,12,workspace_z_lower,workspace_z_lower,2,0,0,inaccurate_solution,,0.0,valid,0.28733704480008626,0.326303429|0.287337045|0.297295636|0.353609725|0.315282131|0.318282131,0.476303429|0.437337045|0.447295636|0.503609725|0.465282131|0.468282131,0.446303429|0.407337045|0.417295636|0.473609725|0.435282131|0.438282131,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0664892868|0.163758176|0.221619296|0.215333301|0,-0.120975218|-0.145069944|-0.150574048|-0.135195392|-0.129657006|0,1.1842385|1.07076752|1.20236667|1.5008628|1.34680482|1.27312852,0.254888475|0.552181721|0.287194639,0.0124797234|-0.151803002|0.0100211231,0.004866760224103928,0.0012289686128497124,0.0014031976461410522,0.00220328476279974
9,0.5,-0.07181424045456375,0.07840032130479813,0.3469519317150116,0.4509807825088501,0.07442861050367355,0.35,1,0,0,0,0,,,nan,0,0.89043128490448,0.3715224266052246,16.5876522064209,0.9022316932678223,1.0,nan,0,0,0,0,0.2778313040334618,0.0,filtered,0.09714088717025654,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,9.679780144863925e-07,valid,0.2833692822570475,0.320272175|0.283369282|0.297816732|0.357811383|0.319441181|0.322441181,0.470272175|0.433369282|0.447816732|0.507811383|0.469441181|0.472441181,0.440272175|0.403369282|0.417816732|0.477811383|0.439441181|0.442441181,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0651982451|0.159480433|0.21785464|0.210216465|0,-0.120267554|-0.144519222|-0.150812742|-0.135875101|-0.130250685|0,1.16082115|1.05415615|1.19993462|1.51322507|1.3577305|1.28976472,0.255512536|0.544591427|0.287695676,0.0124797234|-0.151803002|0.0100211231,0.002980354242026806,0.0008441591635346413,0.00083189457654953,0.001283193938434124
