episode,step,time,d_now,risk_now,closest_link_now,safety_violation_now,d_pred,t_enter,risk_pred_body,critical_link_pred,actual_future_min_distance,future_min_distance_error,actual_future_closest_link,actual_future_violation,warning,false_positive,false_negative,critical_link_match
0,0,0.0,0.4118867516517639,0.255337119102478,5,0,0.09813721477985382,0.949999988079071,0.734422504901886,5,0.20461200177669525,-0.10647478699684143,5,0,1,1,0,1
0,1,0.05,0.3964231014251709,0.26099008321762085,5,0,0.08363997936248779,0.8999999761581421,0.740327775478363,5,0.1998967081308365,-0.1162567287683487,5,0,1,1,0,1
0,2,0.1,0.38244274258613586,0.25332531332969666,5,0,0.07055042684078217,0.8500000238418579,0.7465493083000183,5,0.19706158339977264,-0.12651115655899048,5,0,1,1,0,1
0,3,0.15000000000000002,0.37042441964149475,0.23650740087032318,5,0,0.05909736454486847,0.800000011920929,0.7531182765960693,5,0.19612790644168854,-0.13703054189682007,5,0,1,1,0,1
0,4,0.2,0.36024656891822815,0.21762163937091827,5,0,0.04886500537395477,0.800000011920929,0.7531570196151733,5,0.19612790644168854,-0.14726290106773376,5,0,1,1,0,1
0,5,0.25,0.3506143391132355,0.21811388432979584,5,0,0.038632720708847046,0.75,0.7601439952850342,5,0.19612790644168854,-0.1574951857328415,5,0,1,1,0,1
0,6,0.30000000000000004,0.33936184644699097,0.2565115690231323,5,0,0.02681531012058258,0.699999988079071,0.7674861550331116,5,0.19454826414585114,-0.16773295402526855,5,0,1,1,0,1
0,7,0.35000000000000003,0.3254016935825348,0.31203797459602356,5,0,0.012957683764398098,0.6499999761581421,0.7751673460006714,5,0.19125528633594513,-0.17829760257154703,5,0,1,1,0,1
0,8,0.4,0.30964040756225586,0.35553690791130066,5,0,-0.0014627358177676797,0.6000000238418579,0.7831833958625793,5,0.18849752843379974,-0.18996026425156742,5,0,1,1,0,1
0,9,0.45,0.2945297360420227,0.369478315114975,5,0,-0.013340831734240055,0.6000000238418579,0.7830907106399536,5,0.1884753257036209,-0.20181615743786097,5,0,1,1,0,1
0,10,0.5,0.28218477964401245,0.3526906669139862,5,0,-0.01994093507528305,0.550000011920929,0.7913363575935364,5,0.1884753257036209,-0.20841626077890396,5,0,1,1,0,1
0,11,0.55,0.27236127853393555,0.33023521304130554,5,0,-0.02055402845144272,0.5,0.7998628616333008,5,0.1884753257036209,-0.20902935415506363,5,0,1,1,0,1
0,12,0.6000000000000001,0.2627702057361603,0.34331604838371277,5,0,-0.016338810324668884,0.5,0.7993064522743225,5,0.1884753257036209,-0.2048141360282898,5,0,1,1,0,1
0,13,0.65,0.2516844868659973,0.3893021047115326,5,0,-0.008797206915915012,0.44999998807907104,0.8078526854515076,5,0.1884753257036209,-0.19727253261953592,5,0,1,1,0,1
0,14,0.7000000000000001,0.24003364145755768,0.42271697521209717,5,0,0.001962899463251233,0.44999998807907104,0.8068280220031738,5,0.1884753257036209,-0.18651242624036968,5,0,1,1,0,1
0,15,0.75,0.23023007810115814,0.4179101288318634,5,0,0.015876218676567078,0.4000000059604645,0.8153509497642517,5,0.1884753257036209,-0.17259910702705383,5,0,1,1,0,1
0,16,0.8,0.2234901338815689,0.37619951367378235,5,0,0.030459851026535034,0.4000000059604645,0.8138170838356018,5,0.1884753257036209,-0.15801547467708588,5,0,1,1,0,1
0,17,0.8500000000000001,0.2190922349691391,0.3232235312461853,5,0,0.04518330097198486,0.4000000059604645,0.812073290348053,5,0.18614500761032104,-0.14096170663833618,4,0,1,1,0,0
0,18,0.9,0.21512942016124725,0.31889912486076355,5,0,0.05942828953266144,0.4000000059604645,0.8101168870925903,5,0.18484839797019958,-0.12542010843753815,4,0,1,1,0,0
0,19,0.9500000000000001,0.21017859876155853,0.3652174174785614,5,0,0.07294070720672607,0.4000000059604645,0.8078539967536926,5,0.18484839797019958,-0.11190769076347351,4,0,1,1,0,0
0,20,1.0,0.20461200177669525,0.3990674614906311,5,0,0.08614672720432281,0.4000000059604645,0.8051669597625732,5,0.18484839797019958,-0.09870167076587677,4,0,1,1,0,0
0,21,1.05,0.1998967081308365,0.3862626552581787,5,0,0.09985950589179993,0.44999998807907104,0.7921701073646545,5,0.18484839797019958,-0.08498889207839966,4,0,1,1,0,0
0,22,1.1,0.19706158339977264,0.3157835602760315,5,0,0.11426825821399689,0.5,0.7791907787322998,5,0.18484839797019958,-0.0705801397562027,4,0,1,1,0,0
0,23,1.1500000000000001,0.19612790644168854,0.28035691380500793,5,0,0.12876123189926147,inf,0.5545541048049927,5,0.18484839797019958,-0.05608716607093811,4,0,0,0,0,0
0,24,1.2000000000000002,0.19631944596767426,0.279640257358551,5,0,0.14224810898303986,inf,0.49616342782974243,5,0.18484839797019958,-0.04260028898715973,4,0,0,0,0,0
0,25,1.25,0.19624479115009308,0.2798049747943878,5,0,0.15337051451206207,inf,0.45178043842315674,5,0.18484839797019958,-0.03147788345813751,4,0,0,0,0,0
0,26,1.3,0.19454826414585114,0.2965746223926544,5,0,0.16118036210536957,inf,0.4217388331890106,5,0.18484839797019958,-0.023668035864830017,4,0,0,0,0,0
0,27,1.35,0.19125528633594513,0.3748376965522766,5,0,0.16606424748897552,inf,0.4024115204811096,5,0.18484839797019958,-0.01878415048122406,4,0,0,0,0,0
0,28,1.4000000000000001,0.18849752843379974,0.3911955952644348,5,0,0.17025814950466156,inf,0.3856460750102997,5,0.18484839797019958,-0.014590248465538025,4,0,0,0,0,0
0,29,1.4500000000000002,0.1884753257036209,0.32620784640312195,5,0,0.17614881694316864,inf,0.3641636371612549,5,0.18484839797019958,-0.008699581027030945,4,0,0,0,0,0
0,30,1.5,0.1905534714460373,0.29266974329948425,5,0,0.18311534821987152,inf,0.34033772349357605,5,0.18484839797019958,-0.001733049750328064,4,0,0,0,0,0
0,31,1.55,0.19305197894573212,0.2869468629360199,5,0,0.18940617144107819,inf,0.3191410303115845,5,0.18484839797019958,0.004557773470878601,4,0,0,0,0,0
0,32,1.6,0.19546721875667572,0.3232744634151459,5,0,0.19440044462680817,inf,0.30741044878959656,4,0.18484839797019958,0.009552046656608582,4,0,0,0,0,1
0,33,1.6500000000000001,0.198453888297081,0.3611731231212616,5,0,0.1984531730413437,inf,0.300808310508728,4,0.18484839797019958,0.013604775071144104,4,0,0,0,0,1
0,34,1.7000000000000002,0.20122189819812775,0.3689815104007721,5,0,0.1985260248184204,inf,0.2964897155761719,4,0.18484839797019958,0.013677626848220825,4,0,0,0,0,1
0,35,1.75,0.19729435443878174,0.39936795830726624,4,0,0.1964707374572754,inf,0.29613038897514343,4,0.18484839797019958,0.011622339487075806,4,0,0,0,0,1
0,36,1.8,0.19127672910690308,0.44739973545074463,4,0,0.19127672910690308,inf,0.3036712110042572,4,0.18484839797019958,0.006428331136703491,4,0,0,0,0,1
0,37,1.85,0.18614500761032104,0.4324435293674469,4,0,0.18614500761032104,inf,0.31693917512893677,4,0.18484839797019958,0.00129660964012146,4,0,0,0,0,1
0,38,1.9000000000000001,0.18484839797019958,0.3061927556991577,4,0,0.18484839797019958,inf,0.320382297039032,4,0.18484839797019958,0.0,4,0,0,0,0,1
0,39,1.9500000000000002,0.18772897124290466,0.299284428358078,4,0,0.18772897124290466,inf,0.3127831518650055,4,0.18772897124290466,0.0,4,0,0,0,0,1
0,40,2.0,0.19339576363563538,0.2861686944961548,4,0,0.19339576363563538,inf,0.2983558475971222,4,0.19339576363563538,0.0,4,0,0,0,0,1
0,41,2.0500000000000003,0.2012791633605957,0.2689227759838104,4,0,0.2012791633605957,inf,0.2793853282928467,4,0.2012791633605957,0.0,4,0,0,0,0,1
0,42,2.1,0.21089604496955872,0.24936236441135406,4,0,0.21089604496955872,inf,0.2578688859939575,4,0.21089604496955872,0.0,4,0,0,0,0,1
0,43,2.15,0.22171065211296082,0.22915950417518616,4,0,0.22171065211296082,inf,0.23564572632312775,4,0.22171065211296082,0.0,4,0,0,0,0,1
0,44,2.2,0.23395955562591553,0.20837180316448212,4,0,0.23395955562591553,inf,0.21277926862239838,4,0.23395955562591553,0.0,4,0,0,0,0,1
0,45,2.25,0.24824774265289307,0.18665811419487,4,0,0.24824774265289307,inf,0.18889419734477997,4,0.24824774265289307,0.0,4,0,0,0,0,1
0,46,2.3000000000000003,0.262564480304718,0.1673455834388733,4,0,0.262564480304718,inf,0.16765041649341583,4,0.262564480304718,0.0,4,0,0,0,0,1
0,47,2.35,0.2713553011417389,0.15657968819141388,3,0,0.2713553011417389,inf,0.15580794215202332,3,0.2713553011417389,0.0,3,0,0,0,0,1
